image_id,label,file_path,0,1,2,3,4,5,6,7,8,9,10,11,12
0,5,./eda_output/output/train/0.jpg,0.0027802970726042986,0.03289177268743515,0.02017943747341633,0.03685378283262253,0.034686967730522156,0.7583614587783813,0.016444822773337364,0.009772807359695435,0.009904677048325539,0.011722579598426819,0.015676403418183327,0.04835670068860054,0.0023682620376348495
1,11,./eda_output/output/train/1.jpg,0.0023938154336065054,0.0038138353265821934,0.005707276053726673,0.0033654316794127226,0.0037858933210372925,0.0063449060544371605,0.003293309360742569,0.0014724101638421416,0.001691603334620595,0.007330087944865227,0.0021719345822930336,0.947105884552002,0.01152355782687664
2,8,./eda_output/output/train/2.jpg,0.0038764742203056812,0.009835595265030861,0.023454945534467697,0.004521972965449095,0.005761148873716593,0.005479852668941021,0.015834921970963478,0.008935999125242233,0.8892815113067627,0.01685922034084797,0.0038595194928348064,0.007664497941732407,0.00463431840762496
3,5,./eda_output/output/train/3.jpg,0.0038080187514424324,0.008007938042283058,0.030278511345386505,0.0021096328273415565,0.030338957905769348,0.7256466150283813,0.00987306796014309,0.003991839941591024,0.0034574144519865513,0.09414899349212646,0.0031168274581432343,0.05631714686751366,0.02890501171350479
4,6,./eda_output/output/train/4.jpg,0.03828812018036842,0.0016882851487025619,0.035184070467948914,0.0005965584423393011,0.0017279288731515408,0.0007287858752533793,0.8916974067687988,0.0036622104234993458,0.0013037773314863443,0.013953020796179771,0.00904691219329834,0.0018529031658545136,0.00027003916329704225
5,4,./eda_output/output/train/5.jpg,0.012511022388935089,0.0011518128449097276,0.25575369596481323,0.002609721152111888,0.6205170154571533,0.055371515452861786,0.02093038707971573,0.002713053021579981,0.0025321925058960915,0.006988934241235256,0.0011991634964942932,0.01680966280400753,0.0009117849403992295
6,0,./eda_output/output/train/6.jpg,0.7018352746963501,0.06994418054819107,0.02631482668220997,0.07497397065162659,0.0035232591908425093,0.004395512863993645,0.07401401549577713,0.011759378015995026,0.00404780451208353,0.002489856444299221,0.004211587831377983,0.01779322326183319,0.004697076044976711
7,3,./eda_output/output/train/7.jpg,0.006412560120224953,0.01848292350769043,0.05950965732336044,0.8304940462112427,0.06607918441295624,0.0018401152919977903,0.004995605908334255,0.0009605325758457184,0.0011288448004052043,0.0025219593662768602,0.00185166927985847,0.002852002391591668,0.002871039556339383
8,12,./eda_output/output/train/8.jpg,0.010442052967846394,0.004798749461770058,0.015789389610290527,0.0028537032194435596,0.007367522455751896,0.004691061098128557,0.006983515806496143,0.005586911924183369,0.008685514330863953,0.07047715038061142,0.13575616478919983,0.004081245511770248,0.7224870324134827
9,2,./eda_output/output/train/9.jpg,0.008985073305666447,0.0030084946192801,0.9661883115768433,0.0015118932351469994,0.0025070831179618835,0.005117002408951521,0.0025962635409086943,0.001936583430506289,0.0009592556161805987,0.005564112216234207,0.00021619115432258695,0.0007303744787350297,0.0006793078500777483
10,1,./eda_output/output/train/10.jpg,0.008072985336184502,0.5993881821632385,0.013439394533634186,0.11276790499687195,0.04824712872505188,0.010949640534818172,0.04971513897180557,0.0007766593480482697,0.0019898090977221727,0.12152666598558426,0.007522539235651493,0.01746230572462082,0.008141683414578438
11,7,./eda_output/output/train/11.jpg,0.018334198743104935,0.006717887707054615,0.029089445248246193,0.0110824815928936,0.20231536030769348,0.034625355154275894,0.0032765124924480915,0.6537529230117798,0.0022270705085247755,0.029034476727247238,0.0022342316806316376,0.005084829870611429,0.002225206233561039
12,2,./eda_output/output/train/12.jpg,0.009310053661465645,0.06076762080192566,0.8982193470001221,0.0003565673832781613,0.006656849756836891,0.01116175763309002,0.0051152678206563,0.000540517270565033,0.00033557304413989186,0.0028848699294030666,0.0016004943754523993,0.0016625190619379282,0.001388518139719963
13,6,./eda_output/output/train/13.jpg,0.03374411538243294,0.0017423491226509213,0.015158419497311115,0.007020604331046343,0.0026638403069227934,0.013982990756630898,0.9009425640106201,0.008635241538286209,0.0012310475576668978,0.002779228612780571,0.0008056010119616985,0.0037072720006108284,0.007586792577058077
14,11,./eda_output/output/train/14.jpg,0.0013003561180084944,0.0016343503957614303,0.0019825987983494997,0.0007203105487860739,0.0032694207038730383,0.0001834807189879939,0.003151237964630127,0.0028603721875697374,0.15722699463367462,0.0010300781577825546,0.0041089109145104885,0.8215625286102295,0.0009694487671367824
15,4,./eda_output/output/train/15.jpg,0.03284233808517456,0.006612113676965237,0.16618403792381287,0.18023836612701416,0.27697306871414185,0.0034982883371412754,0.0007677925750613213,0.07285980880260468,0.0033210779074579477,0.21658308804035187,0.023352820426225662,0.004975162446498871,0.011792013421654701
16,10,./eda_output/output/train/16.jpg,0.020613014698028564,0.013117421418428421,0.039487168192863464,0.07092679291963577,0.008592039346694946,0.010576482862234116,0.00620837789028883,0.002252729842439294,0.0012397787068039179,0.006334122736006975,0.8154520988464355,0.004184357821941376,0.001015644520521164
17,0,./eda_output/output/train/17.jpg,0.8707904815673828,0.007740515749901533,0.009901899844408035,0.007223351858556271,0.0021617095917463303,0.0017646292690187693,0.07242840528488159,0.003202451393008232,0.0033903676085174084,0.012248292565345764,0.0034756301902234554,0.004137037787586451,0.0015352800255641341
