image_id,label,file_path,0,1,2,3,4,5,6,7,8,9,10,11,12
0,5,./eda_output/output/train/0.jpg,0.009248749896263082,0.030412554120024044,0.13043037770936888,0.020552662511666615,0.03641617073056598,0.6461293697357179,0.010250317995087244,0.004672488120074074,0.008321495028212667,0.020343604497611523,0.008853961461378882,0.06822617289920647,0.006142053675527373
1,11,./eda_output/output/train/1.jpg,0.007032813116287192,0.013779609929770231,0.01168172589192788,0.013463433754319945,0.009522858386238415,0.01927885754654805,0.021497187515099846,0.0054928770211214815,0.002848328168814381,0.02158498577773571,0.0071253227069973946,0.835717260837555,0.03097473829984665
2,8,./eda_output/output/train/2.jpg,0.002534255889865259,0.004063380338872472,0.014200504248340925,0.0021251402407263718,0.0023156245588324964,0.006510023958981037,0.010692685221632322,0.005289275587225953,0.9262176950772604,0.009639442743112644,0.0043804334321369725,0.009634395906080801,0.002397102847074469
3,5,./eda_output/output/train/3.jpg,0.0025862437517692647,0.004187961807474494,0.09449607878923416,0.004445881815627217,0.01430797033632795,0.7047861417134602,0.00568867044057697,0.001781108924963822,0.0022698829416185617,0.1035947638253371,0.003595415192345778,0.027956624360134203,0.030303233613570527
4,6,./eda_output/output/train/4.jpg,0.02013387127468983,0.0015327487684165437,0.03255446534603834,0.0003622938747867011,0.0040136065023640794,0.0017081911598021784,0.8803474108378091,0.0031535271167134247,0.0007630027830600739,0.043306958551208176,0.004483167237291733,0.006753013973745206,0.0008877448757023861
5,4,./eda_output/output/train/5.jpg,0.020534978558619816,0.024460857772889238,0.09888970541457336,0.07143710701105495,0.6135307153065999,0.02884352331360181,0.018199104194839794,0.004967250085125367,0.007650876417756081,0.007170776332107683,0.004212726062784593,0.09658875626822314,0.0035135885943115377
6,0,./eda_output/output/train/6.jpg,0.7365740338961283,0.0373127448062102,0.03921136135856311,0.037706449162214994,0.0029271100647747512,0.003568044553200404,0.08841439336538315,0.011752920846144358,0.01077360613271594,0.0030461327793697515,0.0034352845201889672,0.010354381675521534,0.014923539323111374
7,3,./eda_output/output/train/7.jpg,0.004602827597409487,0.02229056755701701,0.04451211200406154,0.77033261458079,0.10858757793903351,0.0033702945026258626,0.01745700743049383,0.005483437639971574,0.0025710788322612643,0.0048038791089008255,0.008683604110653201,0.004981069437538584,0.0023239277846490345
8,12,./eda_output/output/train/8.jpg,0.0066644842736423016,0.003866037664314111,0.04371944566567739,0.0031344449768463773,0.003909057782342036,0.0061741234579434,0.00442912809861203,0.004292302221680681,0.008443621297677357,0.14306473980347315,0.08145682886242867,0.004878500166038672,0.6859672864278158
9,2,./eda_output/output/train/9.jpg,0.003591883267896871,0.0021333428254971904,0.9690622289975485,0.0018666688508043687,0.0012634089992692072,0.012601615123761198,0.003565715664687256,0.0013402318387913208,0.0009503843806063135,0.0021430453974365564,0.0003744917291138942,0.0005615995420763891,0.0005453586054500192
10,1,./eda_output/output/train/10.jpg,0.05854791837433974,0.5023872454961141,0.036486562962333366,0.15498708933591843,0.03254990900556246,0.07984201827396949,0.023904317058622837,0.005168654063406089,0.0020640410172442594,0.07628259559472401,0.006496127384404341,0.012890853298207125,0.008392650944491228
